orgNm,pgmNm,pgmSubNm,pgmTarget,pgmStdt,pgmEndt,openTimeClcd,openTime,operationTime,openPlcCont
광주고용센터,성취,"[성취] 구직자 취업 자신감 향상, 이력서·자소서, 면접 등 구직기술향상","일반구직자 및 국민취업지원제도 참여자, 실업급여 수급자 등",20260420,20260423,1,09:30,24,광주고용센터 9층 성취실
서울동부고용센터,[신호탄] 신중년 재취업설계,[신호탄] 신중년(50~60세) 노동시장 정보분석을 기반으로 한 재취업설계,50~60대 구직자,20260420,20260422,1,09:30,18,서울동부고용센터 5층 CAP실
서울강남고용센터,[CAP@] 청년층 직업지도,"[CAP] 청년 진로·직업탐색, 구직기술향상",34세이하 청년층,20260420,20260423,1,09:30,24,강남고용센터 3층 집단상담실
용인고용센터,[CAP@] 청년층 직업지도,"[CAP] 청년 진로·직업탐색, 구직기술향상",34세 이하 청년 구직자,20260420,20260424,1,09:30,24,용인고용센터 [3층] 취업희망프로그램실
대전고용센터,[CAP@] 청년층 직업지도,"[CAP] 청년 진로·직업탐색, 구직기술향상","실업급여수급자, 국민취업지원제도 참여자, 일반구직자 등 만 34세 이하 청년",20260420,20260423,1,09:30,24,둔산우체국 9층 프로그램실
김해고용센터,[CAP@] 청년층 직업지도,"비대면(만34세 이하 청년층)[CAP@] 청년 진로·직업탐색, 구직기술향상",만34세이하 청년층(전역예정간부 및 일반구직자),20260420,20260423,1,09:30,16,온라인
의왕고용센터,[CAP@] 청년층 직업지도,"[CAP] 청년 진로·직업탐색, 구직기술향상","일반구직자, 실업급여 수급자, 국민취업지원제도 참여자 등",20260420,20260423,1,09:30,24,의왕고용센터 1층 프로그램실1실
부천고용센터,[CAP@] 청년층 직업지도,"[CAP] 청년 진로·직업탐색, 구직기술향상",청년 구직자 청년대상(만34세미만),20260420,20260423,1,09:30,24,부천고용복지플러스센터 9층 캡프로그램실
서울고용센터,[CAP@] 청년층 직업지도,"[CAP] 청년 진로·직업탐색, 구직기술향상",34세 이하 구직기술이 필요한 청년,20260420,20260423,1,09:30,24,서울고용센터 1층 청년프로그램실
춘천고용센터,[CAP@] 청년층 직업지도,"[CAP] 청년 진로·직업탐색, 구직기술향상",34세이하 청년구직자,20260420,20260423,1,09:30,24,춘천고용센터 4층 프로그램실
목포고용센터,[CAP@] 청년층 직업지도,"[CAP] 청년 진로·직업탐색, 구직기술향상",대학(교) 재학생,20260420,20260423,1,09:30,24,목포고용복지+센터 별관2층 성취실
수원고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상","일반구직자, 실업급여수급자, 국민취업지원제 참여자 등",20260420,20260423,1,09:30,24,수원고용복지+센터 별관2층 프로그램실
성남고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상",,20260420,20260423,1,09:30,24,성남고용센터 별관 4층 희망룸
부산사하고용센터,취업희망,"[취업희망 프로그램] 구직자 자존감회복, 자신감증진, 의사소통능력향상",구직자,20260420,20260423,1,09:30,24,부산사하고용센터 10층 제1프로그램실
서울관악고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상","일반구직자, 실업급여수급자, 국민취업지원제도 참여자 등",20260420,20260423,1,09:30,24,서울관악고용센터 2층 프로그램2실(바닥 노란색 화살표 따라오시면 됩니다)
포항고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상","일반 구직자, 실업급여 수급자, 국민취업지원사업 참여자 등",20260420,20260423,1,10:00,24,포항고용센터 별관 3층(동양빌딩 3층) 1프로그램실 (포항시 북구 중흥로 231 )
강릉고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상",,20260420,20260423,1,10:00,24,강릉고용센터 4층 프로그램실
제주특별자치도고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상",,20260420,20260423,1,09:30,24,제주고용센터 5층 집단 상담실
청주고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상",취업을 희망하는 관내 구직자,20260420,20260423,1,09:30,24,(대면) 청주고용센터 3층 진로프로그램실
순천고용센터,취업희망,"[희망] 구직자 자존감회복, 자신감증진, 의사소통능력향상",대상자 : 관할지역 내 구직자,20260420,20260423,1,09:30,24,"순천고용센터 5층 CAP실,"
의정부고용센터,취업특강,건강한 생활을 위한 스트레스 관리,실업급여수급자 및 국민취업지원제도 참여자 등 일반 구직자,20260420,20260420,2,02:00,2,의정부센터 1층 직업진로 특강실
서울고용센터,취업특강,생애주기에 따른 재무설계,"실업급여 수급자, 국취제 참여자, 일반구직자 등",20260420,20260420,1,10:00,2,서울고용센터 4층 단기특강실
울산고용센터,취업특강,고용24 활용하기,"실업급여수급자 , 국민취업지원제도 참여자, 일반구직자",20260420,20260420,2,02:00,2,울산고용복지+센터 8층 취업특강실
광명고용센터,취업특강,취업에 성공하는 면접요령,"국민취업지원제도 참여자, 일반구직자, 실업급여수급자 등 (전연령)- 직접참여(대면) 가능자",20260420,20260420,1,10:00,2,광명고용복지플러스센터 2층 프로그램실(대면진행)
서울관악고용센터,취업특강,평생월급 프로젝트,"일반구직자, 실업급여수급자, 국민취업지원제도 참여자 등",20260420,20260420,1,10:00,2,서울관악고용복지+센터 2층 프로그램1실
마산고용센터,취업특강,비즈니스 매너,구직자,20260420,20260420,1,10:00,2,마산고용센터 6층 프로그램실
보령고용센터,취업특강,근로기준법 교육,,20260420,20260420,2,02:00,2,보령고용센터 4층 대강당
군포고용센터,취업특강,성공취업을 위한 취업걸림돌 찾기,"실업급여 수급자, 국민취업지원제도 참여자 및 일반 구직자",20260420,20260420,2,02:00,2,군포고용센터 5층 설명회장
대전고용센터,취업특강,알면 도움되는 채무자 구제 제도,,20260420,20260420,1,09:30,2,대전고용복지플러스센터 5층 단기특강실
광명고용센터,취업특강,현명한 자산관리,"실업급여 수급자, 일반 구직자, 국민취업지원대상자",20260420,20260420,2,02:30,2,광명고용복지+센터 본관 2층 취업지원설명회장
울산고용센터,취업특강,중장년 맞춤 면접준비,"실업급여수급자 , 국민취업지원제도 참여자, 일반구직자 (만 35세이상)",20260420,20260420,1,09:30,2,울산고용복지+센터 8층 취업특강실
서울북부고용센터,취업특강,SWOT분석을 활용한 자기분석,"(~50세까지)국민취업지원제도 참여자, 실업급여 수급자, 일반구직자 등",20260420,20260420,1,10:00,2,서울북부고용센터 9층 프로그램 3실
부산사하고용센터,취업특강,(중장년층) 4050 트랜디한 이력서·자소서 작성법,중장년층,20260420,20260420,1,10:00,2,부산사하고용센터 10층 제2프로그램실
안양고용센터,취업특강,알기 쉬운 개인 신용관리,"실업급여 수급자, 국민취업지원제도 참여자 및 일반 구직자",20260420,20260420,2,02:00,2,안양고용센터 3층 대회의실
안산고용센터,취업특강,2026 채용 트렌드 변화,"실업급여수급자, 국민취업지원제도 참여자, 구직자도약패키지 참여자, 일반 구직자",20260420,20260420,2,02:00,2,안산고용센터 5층 대강당
