jobCd,jobCdLevel,jobCdNm,rnum,jobTask,noticeCn,simlrJob,sprdOckclsYn,jobdevtipCn
0,0,경영·사무·금융·보험직,1,,,,,
1,0,연구직 및 공학 기술직,2,,,,,
2,0,교육·법률·사회복지·경찰·소방직 및 군인,3,,,,,
3,0,보건·의료직,4,,,,,
4,0,예술·디자인·방송·스포츠직,5,,,,,
5,0,미용·여행·숙박·음식·경비·청소직,6,,,,,
6,0,영업·판매·운전·운송직,7,,,,,
7,0,건설·채굴직,8,,,,,
8,0,설치·정비·생산직,9,,,,,
9,0,농림어업직,10,,,,,
01,1,관리직(임원·부서장),11,,,,,
02,1,경영·행정·사무직,12,,,,,
03,1,금융·보험직,13,,,,,
11,1,인문·사회과학 연구직,14,,,,,
12,1,자연·생명과학 연구직,15,,,,,
13,1,정보통신 연구개발직 및 공학기술직,16,,,,,
14,1,건설·채굴 연구개발직 및 공학기술직,17,,,,,
15,1,제조 연구개발직 및 공학기술직,18,,,,,
21,1,교육직,19,,,,,
22,1,법률직,20,,,,,
23,1,사회복지·종교직,21,,,,,
24,1,경찰·소방·교도직,22,,,,,
25,1,군인,23,,,,,
30,1,보건·의료직,24,,,,,
41,1,예술·디자인·방송직,25,,,,,
42,1,스포츠·레크리에이션직,26,,,,,
51,1,미용·예식 및 반려동물 서비스직,27,,,,,
52,1,여행·숙박·오락 서비스직,28,,,,,
53,1,음식 서비스직,29,,,,,
54,1,경호·경비직,30,,,,,
55,1,돌봄 서비스직(간병·육아),31,,,,,
56,1,청소 및 기타 개인서비스직,32,,,,,
61,1,영업·판매직,33,,,,,
62,1,운전·운송직,34,,,,,
70,1,건설·채굴직,35,,,,,
81,1,기계 설치·정비·생산직,36,,,,,
82,1,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),37,,,,,
83,1,전기·전자 설치·정비·생산직,38,,,,,
84,1,정보통신 설치·정비직,39,,,,,
85,1,화학·환경 설치·정비·생산직,40,,,,,
86,1,섬유·의복 생산직,41,,,,,
87,1,식품 가공·생산직,42,,,,,
88,1,인쇄·목재·공예 및 기타 설치·정비·생산직,43,,,,,
89,1,제조 단순직,44,,,,,
90,1,농림어업직,45,,,,,
011,2,의회의원·고위공무원 및 기업 고위임원,46,,,,,
012,2,행정·경영·금융·보험 관리자　,47,,,,,
013,2,전문서비스 관리자,48,,,,,
014,2,미용·여행·숙박·음식·경비·청소 관리자,49,,,,,
015,2,영업·판매·운송 관리자,50,,,,,
016,2,건설·채굴·제조·생산 관리자,51,,,,,
021,2,정부행정 전문가 및 관련 종사자,52,,,,,
022,2,경영·인사 전문가,53,,,,,
023,2,회계·세무·감정 전문가,54,,,,,
024,2,광고·조사·상품기획·행사기획 전문가,55,,,,,
025,2,정부행정 사무원,56,,,,,
026,2,경영지원 사무원,57,,,,,
027,2,회계·경리 사무원,58,,,,,
028,2,무역·운송·생산·품질 사무원,59,,,,,
029,2,안내·고객상담·통계·비서 및 기타 사무원,60,,,,,
031,2,금융·보험 전문가,61,,,,,
032,2,금융·보험 사무원,62,,,,,
033,2,금융·보험 영업원,63,,,,,
110,2,인문·사회과학 연구원,64,,,,,
121,2,자연과학 연구원 및 시험원,65,,,,,
122,2,생명과학 연구원 및 시험원,66,,,,,
131,2,컴퓨터하드웨어·통신공학 기술자,67,,,,,
132,2,컴퓨터시스템 전문가,68,,,,,
133,2,소프트웨어 개발자,69,,,,,
134,2,네트워크 시스템 개발자 및 정보보안 전문가,70,,,,,
135,2,데이터 전문가,71,,,,,
136,2,정보시스템 및 웹 운영자,72,,,,,
137,2,통신·방송송출 장비 기사,73,,,,,
140,2,건축·토목공학 기술자 및 시험원,74,,,,,
151,2,기계·로봇공학 기술자 및 시험원,75,,,,,
152,2,금속·재료공학 기술자 및 시험원,76,,,,,
153,2,전기·전자공학 기술자 및 시험원,77,,,,,
154,2,화학공학 기술자 및 시험원,78,,,,,
155,2,에너지·환경공학 기술자 및 시험원,79,,,,,
156,2,섬유공학 기술자 및 시험원,80,,,,,
157,2,식품공학 기술자 및 시험원,81,,,,,
158,2,소방·방재·산업안전·비파괴 기술자,82,,,,,
159,2,제도사 및 기타 공학 기술자 및 시험원,83,,,,,
211,2,대학 교수 및 강사,84,,,,,
212,2,학교 교사,85,,,,,
213,2,유치원 교사,86,,,,,
214,2,문리·기술·예능 강사,87,,,,,
215,2,장학관 및 기타 교육 종사자,88,,,,,
221,2,법률 전문가,89,,,,,
222,2,법률 사무원,90,,,,,
231,2,사회복지사 및 상담사,91,,,,,
232,2,보육교사 및 기타 사회복지 종사자,92,,,,,
233,2,성직자 및 기타 종교 종사자,93,,,,,
240,2,"경찰관, 소방관 및 교도관",94,,,,,
250,2,군인,95,,,,,
301,2,"의사, 한의사 및 치과의사",96,,,,,
302,2,수의사,97,,,,,
303,2,약사 및 한약사,98,,,,,
304,2,간호사,99,,,,,
305,2,영양사,100,,,,,
306,2,의료기사·치료사·재활사,101,,,,,
307,2,보건·의료 종사자,102,,,,,
411,2,작가·통번역가,103,,,,,
412,2,기자 및 언론 전문가,104,,,,,
