busplaName,cntctNo,compAddr,empType,enterType,envBothHands,envEyesight,envLstnTalk,jobNm,offerregDt,regDt,regagnName,reqCareer,reqEduc,rno,rnum,salary,salaryType,termDate,envHandWork,envLiftPower,envStndWalk,reqMajor,reqLicens
한국예술인복지재단,1588-1519,"서울특별시 중구 한강대로 416 ,서울스퀘어 3층(남대문로5가)",계약직,무관,양손작업 가능,일상적 활동 가능,듣고 말하기에 어려움 없음,행정지원사무원,20260417,20260417,한국장애인고용공단 서울지역본부,0년0개월,무관,1,1,"2,300,000",월급,2026-04-20~2026-04-27,,,,,
롯데케미칼주식회사,1588-1519,"서울특별시 송파구 올림픽로 300  14층~16층(신천동, 롯데월드타워)",계약직,무관,양손작업 가능,아주 작은 글씨를 읽을 수 있음,듣고 말하기에 어려움 없음,사무 보조원(일반사업체),20260417,20260417,한국장애인고용공단 전남지사,무관,무관,2,2,"14,000,000",연봉,2026-04-20~2026-04-30,정밀한 작업가능,5~20Kg의 물건을 다룰 수 있음,일부 서서하는 작업 가능,디자인일반,
재단법인 경기도여성가족재단,1588-1519,경기도 수원시 장안구 경수대로 1150 지방행정연수원 2층(파장동),상용직,무관,한손작업 가능,일상적 활동 가능,듣고 말하기에 어려움 없음,사무 보조원(공공기관),20260417,20260421,한국장애인고용공단 경기지역본부,무관,무관,3,3,"2,504,444",월급,2026-04-17~2026-04-27,큰 물품 조립가능,5Kg 이내의 물건을 다룰 수 있음,오랫동안 가능,경제학,
경기신용보증재단,1588-1519,경기도 수원시 영통구 도청로 52 12층~14층 (이의동),계약직,경력,,,,사업지원사무원,20260417,20260420,한국장애인고용공단 경기지역본부,1년0개월,무관,4,4,"36,000,000",연봉,2026-04-17~2026-04-27,,,,,
재단법인 경기도경제과학진흥원,1588-1519,"경기도 수원시 영통구 광교로 107  (이의동, 경기도중소기업지원센터)",계약직,무관,,,,사업지원사무원,20260417,20260417,한국장애인고용공단 경기지역본부,무관,무관,5,5,"29,507,000",연봉,2026-04-17~2026-05-08,,,,,
한국폴리텍대학전북캠퍼스,1588-1519,전라북도 김제시 백학제길 154 (백학동),계약직,무관,,,,사무 보조원(공공기관),20260417,20260417,한국장애인고용공단 전북지사,0년개월,무관,6,6,"1,278,440",월급,2026-04-17~2026-04-24,,,,,
주식회사 해모,1588-1519,인천광역시 미추홀구 방축로 312 (주안동)주안제이타워2차 지식산업센터 817호,계약직,무관,양손작업 가능,비교적 큰 인쇄물을 읽을 수 있음,간단한 듣고 말하기 가능,"제품 포장원(섬유, 전기전자, 식품 제외)",20260417,20260417,한국장애인고용공단 인천지사,무관,무관,7,7,"10,320",시급,2026-04-17~2026-04-29,작은 물품 조립가능,5Kg 이내의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
한국진돗개안전C&S(주),1588-1519,인천광역시 중구 제물량로24번길 7  (신흥동3가),계약직,무관,양손작업 가능,일상적 활동 가능,듣고 말하기에 어려움 없음,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",20260417,20260417,한국장애인고용공단 인천지사,무관,무관,8,8,"1,750,000",월급,2026-04-17~2026-04-29,작은 물품 조립가능,5Kg 이내의 물건을 다룰 수 있음,오랫동안 가능,,
(주)행복누리 원동지점,1588-1519,경기도 오산시 밀머리로 97 (원동),상용직,무관,,,,판매 관리자(소규모 판매점장 제외),20260417,20260417,한국장애인고용공단 경기지역본부,0년0개월,무관,9,9,"10,320",시급,2026-04-17~2026-07-16,,,,,
아주오토리움 주식회사,1588-1519,경기도 고양시 일산동구 백마로 491 일산 볼보 전시장  (풍동),계약직,무관,양손작업 가능,아주 작은 글씨를 읽을 수 있음,듣고 말하기에 어려움 없음,거리 및 공공장소 청소원(환경 미화원),20260417,20260417,한국장애인고용공단 경기서부지사,0년0개월,무관,10,10,"2,156,880",월급,2026-04-17~2026-05-03,정밀한 작업가능,5Kg 이내의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
