address,authDate,compAuthId,compBizNo,compName,compRegNo,compTel,compTypeNm,presidentName,product,rnum,compMgrNo,cancelDate,compCert
서울특별시 금천구 디지털로9길 68 (가산동),2026-04-23,9654,715-87-03755,(주)올모남서울,제2026-025호,02-855-5152,일반,정선희,"시각디자인, 미술콘텐츠기획, 굿즈 제작 등",1,,,
인천광역시 남동구 청능대로340번길 13 (고잔동),2026-04-23,9655,140-81-26520,(주)엠씨테크,제2026-024호,032-812-9707,일반,지정운,화장품 등,2,,,
인천광역시 연수구 센트럴로 263 27층 3호  (송도동),2026-04-23,9651,289-88-01842,주식회사 씨디에스아시아,제2026-023호,010-7707-1439,일반,유지훈,광고 및 영상제작,3,,,
경기도 하남시 미사대로 540,2016-11-10,9649,215-82-15853,한국선원장애인복지협회 건설사업단,제2026-022호,051-315-4863,,신성섭,"재활의학과, 정형외과, 신경외과",4,,,
경기도 시흥시 서울대학로264번길 26-16,2016-11-30,9648,654-82-00614,한국선원장애인복지협회 행복사업단,제2026-021호,010-3232-7286,,이창교,"스팀세차, 번역 등",5,,,
경상남도 양산시 동면 금오4길 29-15 1층,2026-04-08,9652,858-82-00521,사단법인 한국한마음장애인복지협회,제2026-020호,010-6435-5135,일반,윤문두,봉제 및 조립,6,,,
"울산광역시 중구 동천1길 40 세영이노세븐지식산업센터 A동 803호,804호,BB108호(서동)",2026-03-20,9653,610-81-67976,(주)온브랜딩,제2026-019호,052-224-3888,일반,정창명,CCTV설치 및 유지보수,7,,,
"경기도 부천시 원미구 도약로 287 501호(도당동, 부천테크노월드)",2026-03-03,9634,842-81-04020,주식회사 그린에코시스템,제2026-017호,032-677-7585,일반,채선희,"사업시설유지, 관리서비스업",8,,,
인천광역시 연수구 송도과학로16번길 33-1 (송도동),2026-03-03,9637,445-88-01006,(주)메리빌리아,제2026-016호,,일반,장문혁,예식장,9,,,
경기도 수원시 권선구 세화로 116 (서둔동),2026-03-03,9636,794-87-03141,주식회사메리빌아더프레스티지,제2026-015호,031-293-5579,일반,장문혁,웨딩홀,10,,,
