excInstn,excInstnAddr,excInstnFxno,excInstnNm,excInstnTelno,rnum
대전광역시,(35368) 대전광역시 서구 도안동로11번길 42 501~503호 (가수원동 지산프라자 5층),042-543-8398,대전서구장애인자립생활센터,042-545-8372,1
경상남도,(51558) 경상남도 창원시 성산구 웅남로 316 (웅남동) 창원지식산업센터 지원시설동 404호,055-266-1551,(사)사단법인 경상남도지체장애인연합회,070-4913-5112,2
충청남도,(31100) 충청남도 천안시 서북구 부성4길 35-5 (두정동) 덕산빌딩 3층,-,사)한국농아인협회 충남협회,041-522-2216,3
경상남도,(51442) 경상남도 창원시 성산구 신월로 42 토월복합상가 311호  (신월동),055-283-1322,경남장애인인권포럼,055-283-1313,4
경상남도,(51333) 경상남도 창원시 마산합포구 용마로 27-1 (산호동),055-241-8533,대한안마사협회 경남지부,055-252-8533,5
전라북도,(54634) 전라북도 익산시 고봉로5길 37 영등동312번지 (영등동),-,사)사랑의손길새소망,063-851-1174,6
경기도,(11803) 경기도 의정부시 효자로 14 이프라자 602호 (민락동),-,(사)경기장애인부모연대 의정부시지부,031-851-3545,7
대구광역시,"(42728) 대구광역시 달서구 월성로 20 건도파라다이스 402,403호 대구척수장애인협회  (월성동)",-,한국척수장애인협회 대구광역시협회,053-628-6122,8
서울특별시,(07275) 서울특별시 영등포구 영등포로5길 19 813호 (양평동2가),0503-8379-3785,(사)한국장애인표준사업장협회,02-2632-6720,9
강원특별자치도,(26441) 강원특별자치도 원주시 남원로 583 (명륜동) 6층,-,온새미사회적협동조합,033-732-4100,10
충청북도,(28632) 충청북도 청주시 서원구 남지로21번길 60 혜원장애인종합복지관,043-295-2502,혜원장애인종합복지관,043-295-2505,11
부산광역시,(47206) 부산광역시 부산진구 동평로 350 507호 (양정동),-,부산진구지회(시각),051-853-0444,12
인천광역시,(21547) 인천광역시 남동구 구월로 235 3층(구월동),-,(사)대한안마사협회 인천지부,032-432-8033,13
