pwdbs_slwy_estnc,pwdbs_tolt_estnc,stn_cd,stn_nm,whlch_liftt_cnt
N,Y,3901114,가남,0
N,Y,3900196,가수원,0
N,N,3900677,가야,0
N,N,3900098,가천,0
N,N,3900079,각계,0
N,N,3900215,감곡,0
Y,Y,3901115,감곡장호원,0
Y,Y,3900206,강경,0
N,Y,3901067,강구,0
Y,Y,3900587,강릉,0
N,N,3900268,개운,0
N,N,3900531,개정,0
N,N,3900201,개태사,0
Y,Y,3900516,개포,0
N,N,3900553,거촌,0
Y,Y,3900099,경산,0
N,N,3900665,경화,0
N,Y,3900199,계룡,0
N,Y,3900234,고막원,3
Y,Y,3900154,고명,0
N,N,3900097,고모,0
N,N,3900573,고사리,0
Y,Y,3900613,고한,0
Y,Y,3900263,곡성,0
N,N,3900296,공전,0
N,Y,3901026,공주,0
Y,Y,3900252,관촌,0
N,N,3900719,광곡,0
Y,Y,3900883,광명,0
N,Y,3900710,광양,0
N,N,3900549,광양항,0
Y,Y,3900393,광운대,2
Y,Y,3900539,광주,0
Y,Y,3900229,광주송정,0
N,Y,3900334,광천,0
N,N,3900660,괴동,0
N,Y,3900267,괴목,0
Y,Y,3900265,구례구,0
N,N,3900713,구룡,0
Y,Y,3900088,구미,0
N,N,3900593,구절리,0
N,Y,3900111,구포,0
Y,Y,3900128,국수,0
N,Y,3900690,군북,0
Y,Y,3900348,군산,0
N,N,3901107,군산항,0
N,N,3900532,군산화물,0
Y,Y,3900538,극락강,0
Y,Y,3900670,금강,3
N,N,3900262,금지,0
N,Y,3900673,금호,0
Y,Y,3900631,기장,0
N,Y,3900214,김제,0
N,Y,3900085,김천,0
Y,Y,3900894,김천(구미),1
Y,N,3900591,나전,0
N,Y,3900231,나주,0
N,N,3900681,낙동강,0
Y,Y,3900101,남성현,0
N,Y,3900259,남원,0
N,Y,3900636,남창,0
N,Y,3900663,남창원,0
N,N,3901009,남철송장,0
Y,N,3900729,남평,0
N,N,3900340,남포,0
N,N,3900284,내수,0
N,N,3900220,노령,0
N,Y,3900230,노안,2
Y,Y,3900204,논산,0
Y,Y,3900725,능주,0
N,Y,3900233,다시,2
N,Y,3900157,단양,0
Y,N,3900291,달천,0
Y,N,3900419,대광리,0
Y,Y,3900095,대구,0
N,N,3900540,대불,0
Y,Y,3900086,대신,0
N,Y,3901105,대야,0
N,Y,3900073,대전,1
N,N,3900072,대전조차장,0
N,N,3900438,대정,0
Y,Y,3900338,대천,0
N,Y,3900684,덕산,0
N,Y,3900122,덕소,0
N,Y,3900275,덕양,0
Y,Y,3900637,덕하,0
Y,Y,3900572,도계,0
N,Y,3900324,도고온천,0
N,N,3900156,도담,0
Y,Y,3900377,도라산,0
N,Y,3900286,도안,0
Y,Y,3900096,동대구,0
Y,Y,3900412,동두천,0
N,N,3900294,동량,0
N,Y,3900567,동백산,0
Y,N,3900246,동산,0
N,N,3900269,동운,0
N,N,3900243,동익산,0
N,Y,3900564,동점,0
N,Y,3900580,동해,0
N,Y,3900060,두정,0
Y,Y,3901058,둔내,0
Y,Y,3900717,득량,0
N,Y,3900686,마산,0
Y,Y,3900575,마차리,0
Y,Y,3900141,만종,0
N,Y,3900582,망상,0
N,Y,3900136,매곡,0
N,N,3900069,매포,0
N,Y,3900720,명봉,0
Y,Y,3900242,목포,0
N,N,3900293,목행,0
Y,Y,3900237,몽탄,3
Y,Y,3900236,무안,3
N,Y,3900581,묵호,0
N,N,3900618,묵호항,0
N,N,3900530,문경,0
Y,N,3900616,문곡,0
Y,Y,3900374,문산,0
Y,Y,3900109,물금,0
N,N,3900578,미로,0
Y,Y,3900611,민둥산,0
N,Y,3900105,밀양,0
N,Y,3900694,반성,0
Y,Y,3901008,백마고지,0
Y,N,3900566,백산,0
Y,Y,3900221,백양사,0
N,N,3900510,백원,0
N,Y,3900714,벌교,0
N,N,3900620,범일,0
Y,N,3900555,법전,0
N,N,3900441,벽제,0
