railOprIsttCd,lnCd,stinCd,exitNo,dtlLoc,grndDvNmFr,runStinFlorFr,grndDvNmTo,runStinFlorTo,len,wd,bndWgt,LN_NM,STIN_NM
BS,2,219,6,서면역 6번 출구 하부,지하,1,지상,1,1050,760,225,2호선,서면
BS,2,219,7,(B1) 서면역 7번 출구 하부,지하,1,지상,1,1050,760,225,2호선,서면
BS,2,221,2,(B1) 2번 출입구 옆 화장실 입구 계단 아래,지하,1,지하,1,1050,760,225,2호선,가야
BS,2,229,2,(B1) 대합실 2번 출입구 계단 밑,지하,1,지상,1,1050,760,225,2호선,모덕
DG,1,3140,,(B1) 1번/2번 출입구 방면 대합실,지하,1,지하,1,1450,1000,340,1호선,중앙로
DG,1,3140,,(B1) 3번/4번 출입구 방면 대합실,지하,1,지하,1,1450,1000,340,1호선,중앙로
DG,1,3140,,(B2) 3번/4번 출입구 방면 대합실 표 내는 곳 옆,지하,2,지하,1,1450,1000,340,1호선,중앙로
DJ,1,0005,5,(B1) 대합실,지하,1,지상,1,1150,800,225,1호선,중앙로
DJ,1,0005,6,(B1) 지하상가,지하,1,지상,1,1150,800,225,1호선,중앙로
GJ,1,107,3,(B1) 3번 출입구,지하,1,지상,1,1250,800,300,1호선,양동시장
IC,I1,132,"1,2","(B1) 1,2번 출구방향 계단 앞",지하,1,지하,1,511.5,90.5,400,인천1호선,동막
KR,1,106,2,(1F) 2번 출구 외부 계단,지상,1,지하,1.5,800,82,300,1호선,덕계
KR,1,110,,6번 승강장(저상홈 승강장),지상,1,지상,1,1250,800,300,1호선,의정부
KR,1,112,3,1층 --> 2층 의정부 방면 승강장,지상,1,지상,2,1250,800,300,1호선,망월사
KR,1,112,3,1층 --> 2층 인천 방면 승강장,지상,1,지상,2,1250,800,300,1호선,망월사
KR,1,119,,인천방면,지상,1,지하,1,1250,800,300,1호선,광운대
KR,1,119,,경춘선 방면,지상,1,지하,1,1250,800,300,1호선,광운대
KR,1,121,,(1F) 석계역 방향 승강장 1-1 출입문 앞,지상,1,지상,2,1250,800,300,1호선,신이문
KR,1,121,,(1F) 외대앞역 방향 승강장 10-4 출입문 앞,지상,1,지상,2,1250,800,300,1호선,신이문
KR,1,121,2,(2F) 맞이방 2번 출구 앞,지상,2,지상,3,1250,800,300,1호선,신이문
KR,1,122,,(1층)신이문역 방향 10-4  뒤 계단,지상,1,지상,3,1250,120,300,1호선,외대앞
KR,1,134,1,계단 옆,지상,1,지상,2,1250,800,200,1호선,남영
KR,1,136,2,(3F) 용산방면(일반상행) 5번승강장 계단 입구,지상,3,지상,1,1250,800,300,1호선,노량진
KR,1,136,2,(3F) 용산방변(급행상행) 2번승강장 계단 입구,지상,3,지상,1,1250,800,300,1호선,노량진
KR,1,136,2,(3F) 대방방면(일반하행) 4번승강장 계단 입구,지상,3,지상,1,1250,800,300,1호선,노량진
KR,1,136,1,(3F) 대방방면(급행하행) 1번승강장 계단 입구,지상,3,지상,1,1250,800,300,1호선,노량진
KR,1,138,,"(F1) 청량리,소요산 승강장방향 10-4 출입문 근처",지상,1,지상,2,1800,100,300,1호선,신길
KR,1,138,,(F1) 동인천 승강장 방향 1-1 츌압문 근처,지하,1,지상,2,1800,100,300,1호선,신길
KR,1,139,,(1F) 수원역(기차) 방향 승강장 남쪽,지상,1,지상,1,1400,950,350,1호선,영등포
KR,1,139,,(1F) 용산역(기차) 방향 승강장 남쪽,지상,1,지상,1,1400,950,350,1호선,영등포
KR,1,139,,(1F) 수원역(기차) 방향 승강장 북쪽,지상,1,지상,1,1400,950,250,1호선,영등포
KR,1,139,,(1F) 용산역(기차) 방향 승강장 남쪽,지상,1,지상,1,1400,950,350,1호선,영등포
KR,1,141,"2,3","1층 2,3번 승강장 맞이방 방향",지상,1,지상,3,1250,800,300,1호선,구로
KR,1,141,1,"1층 8,9번 승강장 맞이방 방향",지상,1,지상,3,1250,800,300,1호선,구로
KR,1,142,1,(1F) 1번출입구 표내는 곳 계단앞,지상,1,지상,1,15,120,300,1호선,구일
KR,1,142,1,(1F)  1번출입구 표내는 곳 계단앞,지상,1,지상,1,5,120,300,1호선,구일
KR,1,142,1,(1F) 1번출입구 표내는 곳,지상,1,지상,1,20,120,300,1호선,구일
KR,1,142,1,(1F) 1번출입구 표내는 곳,지상,1,지상,1,10,120,300,1호선,구일
KR,1,142,1,(1F) 1번출입구 표내는 곳,지상,1,지상,1,50,120,300,1호선,구일
KR,1,P142,1,(2F) 2번 출입구 옆,지상,1,지상,2,3000,120,350,1호선,가산디지털단지
KR,1,P145,,"(1F) 금천구청역 방향 승강장 10-4, 상행 계단 올라가는 곳",지상,1,지상,2,1250,800,300,1호선,석수
KR,1,P145,,"(1F) 관악역 방향 승강장 1-1, 하행 계단 올라가는 곳",지상,1,지상,2,1250,800,300,1호선,석수
KR,1,P146,,1F(석수역 방향 상행승강장 계단 옆),지상,1,지상,2,1100,800,300,1호선,관악
KR,1,P150,,(2F) 당정역 방향 승강장 계단 앞,지상,2,지상,2,1350,80,300,1호선,군포
KR,1,P150,2,(2F) 2번 출입구 방향,지상,2,지상,2,1350,80,300,1호선,군포
KR,1,P156,1,병점역방면승강장4-4 승강장,지하,1,지상,1,1250,800,200,1호선,세류
KR,1,P156,1,수원역방면승강장7-1 승강장,지하,1,지상,1,1250,800,200,1호선,세류
KR,1,P160,1,국철 하행승강장 내려가는 입구,지상,1,지상,1,1250,800,300,1호선,오산
KR,1,P160,2,국철 상행승강장 내려가는 입구,지상,2,지상,2,1250,800,300,1호선,오산
KR,1,P163,,맞이방에서 서울방향 상선 기차타는곳,지상,3,지상,1,1270,80,300,1호선,서정리
KR,1,P163,,맞이방에서 평택방향 하선 기차타는곳,지상,3,지상,1,1270,80,300,1호선,서정리
KR,1,P165,,"(1F) 국철 하선 5,6호차 타는곳",지상,1,지상,1,1400,1200,350,1호선,평택
