railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl,LN_NM,STIN_NM
AR,A1,A01,1,1,출입구-승강장,1,,1) (1F) 15번 출입구 대합실로 이동,공항,서울역
AR,A1,A01,1,1,출입구-승강장,2,,2) 대합실 방향 엘리베이터 탑승,공항,서울역
AR,A1,A01,1,1,출입구-승강장,3,,3) (B3) 일반열차 대합실로 이동,공항,서울역
AR,A1,A01,1,1,출입구-승강장,4,,4) 표 내는 곳 통과,공항,서울역
AR,A1,A01,1,1,출입구-승강장,5,,5) 일반열차 승강장 방향 엘리베이터 탑승,공항,서울역
AR,A1,A01,1,1,출입구-승강장,6,,6) (B7) 공덕 방면 승강장으로 이동,공항,서울역
AR,A1,A01,1,1,출입구-승강장,7,,7) 승차 (휠체어칸),공항,서울역
AR,A1,A01,1,3,환승경로,1,,1) (B7) 공항철도 서울역(종착역) 승강장 하차,공항,서울역
AR,A1,A01,1,3,환승경로,2,,2) 대합실 방향 엘리베이터 탑승,공항,서울역
AR,A1,A01,1,3,환승경로,3,,3) (B3) 대합실로 이동,공항,서울역
AR,A1,A01,1,3,환승경로,4,,"4) 1, 4호선 방향 환승통로로 이동",공항,서울역
AR,A1,A01,1,3,환승경로,5,,5) 1호선 방향 엘리베이터 탑승,공항,서울역
AR,A1,A01,1,3,환승경로,6,,6) (B1) 대합실로 이동,공항,서울역
AR,A1,A01,1,3,환승경로,7,,7) 1호선 대합실로 이동,공항,서울역
AR,A1,A01,1,3,환승경로,8,,8) 1호선 승강장 방향 엘리베이터 탑승,공항,서울역
AR,A1,A01,1,3,환승경로,9,,9) (B2) 1호선 시청 방면 승강장으로 이동,공항,서울역
AR,A1,A01,1,3,환승경로,10,,10) 승차 (휠체어칸),공항,서울역
AR,A1,A01,2,3,환승경로,1,,1) (B7) 공항철도 서울역(종착역) 승강장 하차,공항,서울역
AR,A1,A01,2,3,환승경로,2,,2) 대합실 방향 엘리베이터 탑승,공항,서울역
AR,A1,A01,2,3,환승경로,3,,3) (B3) 대합실로 이동,공항,서울역
AR,A1,A01,2,3,환승경로,4,,"4) 1, 4호선 방향 환승통로로 이동",공항,서울역
AR,A1,A01,2,3,환승경로,5,,5) 1호선 방향 엘리베이터 탑승,공항,서울역
AR,A1,A01,2,3,환승경로,6,,6) (B1) 대합실로 이동,공항,서울역
AR,A1,A01,2,3,환승경로,7,,7) 1호선 대합실로 이동,공항,서울역
AR,A1,A01,2,3,환승경로,8,,8) 1호선 승강장 방향 엘리베이터 탑승,공항,서울역
AR,A1,A01,2,3,환승경로,9,,9) (B2) 1호선 남영 방면 승강장으로 이동,공항,서울역
AR,A1,A01,2,3,환승경로,10,,10) 승차 (휠체어칸),공항,서울역
AR,A1,A01,3,3,환승경로,1,,1) (B7) 공항철도 서울역(종착역) 승강장 하차,공항,서울역
AR,A1,A01,3,3,환승경로,2,,2) 대합실 방향 엘리베이터 탑승,공항,서울역
AR,A1,A01,3,3,환승경로,3,,3) (B3) 대합실로 이동,공항,서울역
AR,A1,A01,3,3,환승경로,4,,"4) 1, 4호선 방향 환승통로로 이동",공항,서울역
AR,A1,A01,3,3,환승경로,5,,5) 4호선 방향 엘리베이터 탑승,공항,서울역
AR,A1,A01,3,3,환승경로,6,,6) (B1) 대합실로 이동,공항,서울역
AR,A1,A01,3,3,환승경로,7,,7) 4호선 대합실로 이동,공항,서울역
AR,A1,A01,3,3,환승경로,8,,8) 4호선 승강장 방향 엘리베이터 탑승,공항,서울역
AR,A1,A01,3,3,환승경로,9,,9) (B2) 4호선 회현 방면 승강장으로 이동,공항,서울역
AR,A1,A01,3,3,환승경로,10,,10) 승차 (휠체어칸),공항,서울역
AR,A1,A01,4,3,환승경로,1,,1) (B7) 공항철도 서울역(종착역) 승강장 하차,공항,서울역
AR,A1,A01,4,3,환승경로,2,,2) 대합실 방향 엘리베이터 탑승,공항,서울역
AR,A1,A01,4,3,환승경로,3,,3) (B3) 대합실로 이동,공항,서울역
AR,A1,A01,4,3,환승경로,4,,"4) 1, 4호선 방향 환승통로로 이동",공항,서울역
AR,A1,A01,4,3,환승경로,5,,5) 4호선 방향 엘리베이터 탑승,공항,서울역
AR,A1,A01,4,3,환승경로,6,,6) (B1) 대합실로 이동,공항,서울역
AR,A1,A01,4,3,환승경로,7,,7) 4호선 대합실로 이동,공항,서울역
AR,A1,A01,4,3,환승경로,8,,8) 4호선 승강장 방향 엘리베이터 탑승,공항,서울역
AR,A1,A01,4,3,환승경로,9,,9) (B2) 4호선 숙대입구 방면 승강장으로 이동,공항,서울역
AR,A1,A01,4,3,환승경로,10,,10) 승차 (휠체어칸),공항,서울역
AR,A1,A01,5,3,환승경로,1,,1) (B7) 공항철도 서울역(종착역) 승강장 하차,공항,서울역
AR,A1,A01,5,3,환승경로,2,,2) 대합실 방향 엘리베이터 탑승,공항,서울역
AR,A1,A01,5,3,환승경로,3,,3) (B3) 대합실로 이동,공항,서울역
AR,A1,A01,5,3,환승경로,4,,"4) 1, 4호선 방향 환승통로로 이동",공항,서울역
AR,A1,A01,5,3,환승경로,5,,5) 1호선 방향 엘리베이터 탑승,공항,서울역
AR,A1,A01,5,3,환승경로,6,,6) (B1) 대합실로 이동,공항,서울역
AR,A1,A01,5,3,환승경로,7,,7) 경의중앙선 방향 엘리베이터 탑승,공항,서울역
AR,A1,A01,5,3,환승경로,8,,8) (2F) 경의중앙선 대합실로 이동,공항,서울역
AR,A1,A01,5,3,환승경로,9,,9) 경의중앙선 승강장 방향 엘리베이터 탑승,공항,서울역
AR,A1,A01,5,3,환승경로,10,,10) (1F) 경의중앙선 신촌 방면 승강장으로 이동,공항,서울역
AR,A1,A01,5,3,환승경로,11,,11) 승차 (휠체어칸),공항,서울역
AR,A1,A02,1,1,출입구-승강장,1,,1) (1F) 10번 출입구 에서 효성헤링턴건물 방향 중간쯤  엘리베이터 탑승,공항,공덕
AR,A1,A02,1,1,출입구-승강장,2,,2) (B3) 대합실로 이동,공항,공덕
AR,A1,A02,1,1,출입구-승강장,3,,3) 표 내는 곳 통과,공항,공덕
AR,A1,A02,1,1,출입구-승강장,4,,4) 서울역 방면 엘리베이터 탑승,공항,공덕
AR,A1,A02,1,1,출입구-승강장,5,,5) (B5) 서울역 방면 승강장으로 이동,공항,공덕
AR,A1,A02,1,1,출입구-승강장,6,,6) 승차 (휠체어칸),공항,공덕
AR,A1,A02,2,1,출입구-승강장,1,,1) (1F) 10번 출입구 에서 효성헤링턴건물 방향 중간쯤  엘리베이터 탑승,공항,공덕
AR,A1,A02,2,1,출입구-승강장,2,,2) (B3) 대합실로 이동,공항,공덕
AR,A1,A02,2,1,출입구-승강장,3,,3) 표 내는 곳 통과,공항,공덕
AR,A1,A02,2,1,출입구-승강장,4,,4) 홍대입구 방면 엘리베이터 탑승,공항,공덕
AR,A1,A02,2,1,출입구-승강장,5,,5) (B5) 홍대입구 방면 승강장으로 이동,공항,공덕
AR,A1,A02,2,1,출입구-승강장,6,,6) 승차 (휠체어칸),공항,공덕
AR,A1,A02,1,3,환승경로,1,,1) (B5) 공항철도 서울역 방면 승강장 하차,공항,공덕
AR,A1,A02,1,3,환승경로,2,,2) 대합실 방향 엘리베이터 탑승,공항,공덕
AR,A1,A02,1,3,환승경로,3,,3) (B3) 대합실로 이동,공항,공덕
AR,A1,A02,1,3,환승경로,4,,"4) 5, 6호선 방향 환승통로로 이동",공항,공덕
AR,A1,A02,1,3,환승경로,5,,5) 6호선 효창공원앞 방면 엘리베이터 탑승,공항,공덕
AR,A1,A02,1,3,환승경로,6,,6) (B2) 6호선 효창공원앞 승강장으로 이동,공항,공덕
AR,A1,A02,1,3,환승경로,7,,7) 5호선 환승 대합실로 이동,공항,공덕
AR,A1,A02,1,3,환승경로,8,,8) 5호선 승강장 방향 엘리베이터 탑승,공항,공덕
AR,A1,A02,1,3,환승경로,9,,9) (B3) 5호선 마포 방면 승강장으로 이동,공항,공덕
AR,A1,A02,1,3,환승경로,10,,10) 승차 (휠체어칸),공항,공덕
AR,A1,A02,2,3,환승경로,1,,1) (B5) 공항철도 서울역 방면 승강장 하차,공항,공덕
AR,A1,A02,2,3,환승경로,2,,2) 대합실 방향 엘리베이터 탑승,공항,공덕
AR,A1,A02,2,3,환승경로,3,,3) (B3) 대합실로 이동,공항,공덕
AR,A1,A02,2,3,환승경로,4,,"4) 5, 6호선 방향 환승통로로 이동",공항,공덕
AR,A1,A02,2,3,환승경로,5,,5) 6호선 효창공원앞 방면 엘리베이터 탑승,공항,공덕
AR,A1,A02,2,3,환승경로,6,,6) (B2) 6호선 효창공원앞 승강장으로 이동,공항,공덕
AR,A1,A02,2,3,환승경로,7,,7) 5호선 환승 대합실로 이동,공항,공덕
AR,A1,A02,2,3,환승경로,8,,8) 5호선 승강장 방향 엘리베이터 탑승,공항,공덕
AR,A1,A02,2,3,환승경로,9,,9) (B3) 5호선 애오개 방면 승강장으로 이동,공항,공덕
AR,A1,A02,2,3,환승경로,10,,10) 승차 (휠체어칸),공항,공덕
AR,A1,A02,3,3,환승경로,1,,1) (B5) 공항철도 홍대입구 방면 승강장 하차,공항,공덕
AR,A1,A02,3,3,환승경로,2,,2) 대합실 방향 엘리베이터 탑승,공항,공덕
AR,A1,A02,3,3,환승경로,3,,3) (B3) 대합실로 이동,공항,공덕
AR,A1,A02,3,3,환승경로,4,,"4) 5, 6호선 방향 환승통로로 이동",공항,공덕
AR,A1,A02,3,3,환승경로,5,,5) 6호선 효창공원앞 방면 엘리베이터 탑승,공항,공덕
AR,A1,A02,3,3,환승경로,6,,6) (B2) 6호선 효창공원앞 승강장으로 이동,공항,공덕
AR,A1,A02,3,3,환승경로,7,,7) 5호선 환승 대합실로 이동,공항,공덕
AR,A1,A02,3,3,환승경로,8,,8) 5호선 승강장 방향 엘리베이터 탑승,공항,공덕
AR,A1,A02,3,3,환승경로,9,,9) (B3) 5호선 마포 방면 승강장으로 이동,공항,공덕
AR,A1,A02,3,3,환승경로,10,,10) 승차 (휠체어칸),공항,공덕
AR,A1,A02,4,3,환승경로,1,,1) (B5) 공항철도 홍대입구 방면 승강장 하차,공항,공덕
