"노선
번호","인가
대수",저상버스 대수,저상보유율
01A,15,15,1
01B,7,7,1
040,15,9,0.6
0411,22,21,0.95454545454545459
100,29,29,1
101,31,19,0.61290322580645162
102,20,20,1
105,18,18,1
107,25,24,0.96
109,14,13,0.9285714285714286
111,13,7,0.53846153846153844
120,32,22,0.6875
121,27,20,0.7407407407407407
130,42,24,0.5714285714285714
140,45,31,0.68888888888888888
141,37,37,1
142,38,38,1
143,50,34,0.68
144,39,19,0.48717948717948717
145,34,17,0.5
146,41,41,1
147,39,36,0.92307692307692313
148,31,26,0.83870967741935487
150,50,43,0.86
151,35,19,0.54285714285714282
152,51,32,0.62745098039215685
160,49,42,0.8571428571428571
162,29,22,0.75862068965517238
163,42,24,0.5714285714285714
171,29,17,0.58620689655172409
173,25,24,0.96
201,19,17,0.89473684210526316
202,36,36,1
240,22,20,0.90909090909090906
241,28,14,0.5
242,19,18,0.94736842105263153
260,30,30,1
261,33,27,0.81818181818181823
262,34,22,0.6470588235294118
270,33,30,0.90909090909090906
271,45,39,0.8666666666666667
272,41,28,0.68292682926829273
273,39,39,1
301,42,27,0.6428571428571429
302,29,25,0.86206896551724133
303,39,33,0.84615384615384615
320,26,19,0.73076923076923073
333,28,25,0.8928571428571429
340,35,24,0.68571428571428572
341,24,23,0.95833333333333337
342,26,16,0.61538461538461542
343,18,12,0.66666666666666663
345,25,18,0.72
350,26,26,1
360,51,33,0.6470588235294118
361,25,19,0.76
370,39,38,0.97435897435897434
400,23,14,0.60869565217391308
401,28,19,0.6785714285714286
402,37,26,0.70270270270270274
405,17,9,0.52941176470588236
406,17,17,1
420,37,37,1
421,39,23,0.58974358974358976
422,15,0,0
440,28,21,0.75
441,29,22,0.75862068965517238
452,34,17,0.5
461,40,25,0.625
463,30,22,0.73333333333333328
470,33,31,0.93939393939393945
472,31,31,1
500,32,28,0.875
501,18,18,1
502,24,22,0.91666666666666663
503,16,12,0.75
504,33,32,0.96969696969696972
505,29,16,0.55172413793103448
506,19,19,1
507,29,17,0.58620689655172409
540,29,27,0.93103448275862066
541,22,19,0.86363636363636365
571,28,28,1
600,27,21,0.77777777777777779
601,28,25,0.8928571428571429
602,26,26,1
603,21,12,0.5714285714285714
604,20,15,0.75
605,27,14,0.51851851851851849
