fcltNo,fcltNm,lineNm,stnCd,stnNm,stnNo,crtrYmd,elvtrSn,mngNo,vcntEntrcNo,bgngFlrGrndUdgdSe,bgngFlr,bgngFlrDtlPstn,endFlrGrndUdgdSe,endFlr,endFlrDtlPstn,elvtrLen,elvtrWdthBt,limitWht,oprtngSitu
1042264,승강기)휠체어리프트-청량리 환승통로 내부2,1호선,0158,청량리,124,20210527,1901-053,내부2,내부,지하,B2,회기 방면8-2,지하,B1,회기 방면8-2,5470,-,4인승,M
1042422,승강기)휠체어리프트-신설동(1) 승강장 내부1,1호선,0156,신설동,126,20210527,1903-415,내부1,내부,지하,B2,제기동 방면측,지하,B1,제기동 방면측,0,820,300,M
1042423,승강기)휠체어리프트-신설동(1) 승강장 내부2,1호선,0156,신설동,126,20210527,1903-417,내부2,내부,지하,B2,동묘앞 방면측,지하,B1,동묘앞 방면측,0,820,300,M
1042424,승강기)휠체어리프트-신설동(1) 연결통로 내부3,1호선,0156,신설동,126,20210527,1903-416,내부3,내부,지하,B2,연결통로(대합실 방면),지하,B1,연결통로(대합실 방면),3.762,800,300,M
1042425,승강기)휠체어리프트-신설동(1) 연결통로 내부4,1호선,0156,신설동,126,20210527,1903-414,내부4,내부,지하,B2,연결통로(대합실 방면),지하,B1,연결통로(대합실 방면),3.651,800,300,M
1042089,승강기)휠체어리프트-한양대 내부 내부1,2호선,0209,한양대,209,20210527,1900-169,내부1,내부,지상,1,뚝섬 방면8-2,지상,2,뚝섬 방면8-2,0,-,4인승,M
1042100,승강기)휠체어리프트-용답 대합실 내부2,2호선,0244,용답,211-1,20210527,1900-168,내부2,내부,지상,1,신답 방면1-4,지상,2,신답 방면1-4,0,-,4인승,M
1042463,"승강기)휠체어리프트-신정네거리 2,3번 출구 내부1",2호선,0249,신정네거리,234-3,20210527,1902-885,내부1,내부,지하,B2,"2,3번 출입구",지하,B3,"2,3번 출입구",11.188,800,300,M
1042466,승강기)휠체어리프트-삼성 코엑스연결계단 내부1,2호선,0219,삼성,219,20210527,1901-463,내부1,내부,지하,B1,코액스 측 연결계단,지하,B1,코액스 측 연결계단,4.37,800,300,M
1061524,승강기)휠체어리프트-잠실 상가측 연결계단 내부1,2호선,0216,잠실,216,20210527,1901-593,내부1,내부,지하,B1,잠실쇼핑센터 측 연결계단,지하,B1,잠실쇼핑센터 측 연결계단,0,800,300,M
