(근접) 출입구번호,관리번호(호기),길이,데이터 기준일자,승강기 일련번호,시작층(상세위치),시작층(운행역층),시작층(지상_지하),역명,연번,종료층(상세위치),종료층(운행역층),종료층(지상_지하),폭,한계중량,호선
내부,내부#1,,2026-02-11,1903-415,제기동 방면,2,지하,신설동(1),1,제기동 방면,1,지하,820,300,1호선
내부,내부#2,,2026-02-11,1903-417,동묘앞 방면,2,지하,신설동(1),2,동묘앞 방면,1,지하,820,300,1호선
내부,내부#3,3.762,2026-02-11,1903-416,연결통로(대합실),1,지하,신설동(1),3,연결통로(대합실),1,지하,800,300,1호선
내부,내부#4,3.651,2026-02-11,1903-414,연결통로(대합실),1,지하,신설동(1),4,연결통로(대합실),1,지하,800,300,1호선
내부,내부#1,,2026-02-11,1901-593,잠실쇼핑센터 측 연결계단,1,지하,잠실(2),5,잠실쇼핑센터 측 연결계단,1,지하,800,300,2호선
내부,내부#1,11.188,2026-02-11,1902-885,"2,3번 출구 측",2,지하,신정네거리,6,"2,3번 출구 측",1,지하,800,300,2호선
내부,내부#1,5.222,2026-02-11,1900-627,"B1층 2,3호선 연결 계단",1,지하,교대(3),7,"B1층 2,3호선 연결 계단",1,지하,800,300,3호선
내부,1,14.000,2026-02-11,1901-411,화곡 방면1-2,5,지하,까치산,8,화곡 방면1-2,4,지하,800,300,5호선
내부,2,14.000,2026-02-11,1901-412,2번 출구 측,5,지하,까치산,9,2번 출구 측,4,지하,800,300,5호선
2번출구,3,36.000,2026-02-11,1901-413,2번 출구 측,1,지하,까치산,10,2번 출구 측,1,지상,800,300,5호선
내부,3,26.900,2026-02-11,1901-375,영등포시장 방면2-3,4,지하,영등포구청,11,영등포시장 방면2-3,2,지하,800,300,5호선
내부,1,12.400,2026-02-11,1900-294,대합실,2,지하,답십리,12,대합실,1,지하,800,300,5호선
내부,1,12.600,2026-02-11,1903-443,대합실,2,지하,장한평,13,대합실,1,지하,800,300,5호선
내부,1,14.000,2026-02-11,1901-002,대합실,2,지하,광나루,14,대합실,1,지하,800,300,5호선
내부,1,10.229,2026-02-11,1900-413,환승통로,2,지하,불광(6),15,환승통로,2,지하,800,300,6호선
내부,2,10.221,2026-02-11,1900-414,환승통로,2,지하,불광(6),16,환승통로,2,지하,800,300,6호선
내부,1,14.657,2026-02-11,1900-229,증산 방면8-4,2,지하,디지털미디어시티(6),17,증산 방면8-4,1,지하,800,300,6호선
내부,2,14.505,2026-02-11,1900-230,월드컵경기장 방면1-1,2,지하,디지털미디어시티(6),18,월드컵경기장 방면1-1,1,지하,800,300,6호선
내부,1,25.330,2026-02-11,1900-251,"청구 방면1-1, 동묘앞 방면8-4",3,지하,신당(6),19,"청구 방면1-1, 동묘앞 방면8-4",2,지하,800,300,6호선
내부,2,14.470,2026-02-11,1900-252,환승통로,2,지하,신당(6),20,환승통로,1,지하,800,300,6호선
내부,3,11.380,2026-02-11,1900-254,환승통로,2,지하,신당(6),21,환승통로,1,지하,800,300,6호선
내부,4,11.380,2026-02-11,1900-253,환승통로,2,지하,신당(6),22,환승통로,1,지하,800,300,6호선
9번출구,5,31.150,2026-02-11,1900-285,9번 출구 측,1,지하,신당(6),23,9번 출구 측,1,지상,800,300,6호선
내부,1,14.098,2026-02-11,1901-031,아이센터 측(B2),2,지하,월곡,24,아이센터 측(B2),1,지하,800,300,6호선
내부,1,14.000,2026-02-11,1901-003,돌곶이 방면1-1,3,지하,석계(6),25,돌곶이 방면1-1,2,지하,800,300,6호선
내부,2,15.400,2026-02-11,1901-004,태릉입구 방면8-4,3,지하,석계(6),26,태릉입구 방면8-4,2,지하,800,300,6호선
내부,1,19.838,2026-02-11,1900-043,대합실,2,지하,동묘앞(6),27,대합실,1,지하,800,300,6호선
5번출구,2,16.210,2026-02-11,1900-044,5번 출구 측,1,지하,동묘앞(6),28,5번 출구 측,1,지상,800,300,6호선
내부,1,13.400,2026-02-11,1900-923,화장실 측(B2),2,지하,마들,29,화장실 측(B2),1,지하,800,300,7호선
내부,3,33.044,2026-02-11,1902-289,뚝섬유원지 방면1-1,1,지하,건대입구(7),30,뚝섬유원지 방면1-1,2,지상,800,300,7호선
내부,1,,2026-02-11,1904-018,대합실(1~6번출구 방면),2,지하,반포,31,대합실(1~6번출구 방면),1,지하,800,300,7호선
내부,1,23.300,2026-02-11,1901-785,"환승통로(3,9호선)",2,지하,고속터미널(7),32,"환승통로(3,9호선)",1,지하,800,300,7호선
내부,2,12.300,2026-02-11,1900-764,대합실(3번출구 방면),2,지하,고속터미널(7),33,대합실(3번출구 방면),1,지하,800,300,7호선
2번출구,3,33.300,2026-02-11,1900-765,3번 출구 측,1,지하,고속터미널(7),34,3번 출구 측,M,지하,800,300,7호선
"4,5,6번출구",4,34.000,2026-02-11,1900-766,"4,5,6번출구 방면 통로",1,지하,고속터미널(7),35,"4,5,6번출구 방면 통로",M,지하,800,300,7호선
내부,1,25.128,2026-02-11,1901-232,환승통로(당고개 방면),4,지하,이수(7),36,환승통로(당고개 방면),2,지하,800,300,7호선
내부,2,26.081,2026-02-11,1901-233,환승통로(사당 방면),4,지하,이수(7),37,환승통로(사당 방면),2,지하,800,300,7호선
내부,1,52.990,2026-02-11,1901-128,"2호선 환승구간(E/S#10,11 옆 계단)",1,지하,대림(7),38,"2호선 환승구간(E/S#10,11 옆 계단)",1,지상,800,300,7호선
내부,2,15.200,2026-02-11,1901-118,대림(7) 방면8-4,5,지하,남구로,39,대림(7) 방면8-4,4,지하,800,300,7호선
내부,4,15.100,2026-02-11,1901-120,가산디지털단지 방면1-1,5,지하,남구로,40,가산디지털단지 방면1-1,4,지하,800,300,7호선
내부,6,26.700,2026-02-11,1901-122,대합실(2~5번출구 방면),4,지하,남구로,41,대합실(2~5번출구 방면),2,지하,800,300,7호선
내부,9,17.900,2026-02-11,1901-125,대합실(2~5번출구 방면),2,지하,남구로,42,대합실(2~5번출구 방면),1,지하,800,300,7호선
내부,10,19.200,2026-02-11,1901-126,대합실(2~5번출구 방면),1,지하,남구로,43,대합실(2~5번출구 방면),M,지하,800,300,7호선
4번출구,11,25.100,2026-02-11,1901-127,4번 출구 측,1,지하,남구로,44,4번 출구 측,1,지상,800,300,7호선
내부,1,6.300,2026-02-11,1901-091,대합실,1,지하,가산디지털단지(7),45,대합실,1,지하,800,300,7호선
내부,3,34.100,2026-02-11,1901-093,환승통로(7호선 대합실-1호선 승강장),1,지하,가산디지털단지(7),46,환승통로(7호선 대합실-1호선 승강장),2,지상,800,300,7호선
내부,4,34.000,2026-02-11,1901-094,환승통로(7호선 대합실-1호선 승강장),1,지하,가산디지털단지(7),47,환승통로(7호선 대합실-1호선 승강장),2,지상,800,300,7호선
6번출구,5,13.700,2026-02-11,1901-076,6번 출구 측,1,지하,온수(7),48,6번 출구 측,1,지상,800,300,7호선
