호선,역명,구분,위치
1,서울,외부출입구,#4
1,서울,외부E/V,#2
1,서울,외부E/V,#4
1,서울,대합실,화장실
1,시청,외부출입구,#6
1,시청,대합실,화장실
1,종각,외부E/V,#3
1,종각,대합실,화장실
1,종로3가,외부출입구,#15
1,종로3가,대합실,연결통로
1,종로3가,대합실,F내부계단
1,종로3가,승강장,연결통로
1,종로5가,외부E/V,#8
1,종로5가,대합실,화장실
1,동대문,외부E/V,#6
1,동대문,대합실,연결통로
1,동대문,대합실,화장실
1,동대문,내부E/V,내부E/V
1,동묘앞,외부E/V,#1
1,동묘앞,외부E/V,#3
1,신설동,외부E/V,#1
1,신설동,외부E/V,#2
1,신설동,외부E/V,#3
1,신설동,외부E/V,#4
1,신설동,대합실,화장실
1,제기동,외부E/V,#1
1,청량리,외부E/V,#2
1,청량리,내부E/V,내부E/V
2,시청,외부E/V,#9
2,시청,대합실,환승통로
2,시청,대합실,환승통로
2,시청,대합실,화장실
2,을지로입구,외부출입구,#2
2,을지로입구,외부출입구,#5
2,을지로입구,외부E/V,#1
2,을지로3가,외부출입구,#2
2,을지로3가,외부출입구,#11
2,을지로3가,대합실,환승통로
2,을지로3가,대합실,환승통로
2,을지로4가,외부출입구,#1
2,을지로4가,외부출입구,#10
2,을지로4가,외부E/V,#7
2,동대문역사문화공원,외부E/V,#1
2,동대문역사문화공원,대합실,#1
2,동대문역사문화공원,대합실,별관연결
2,신당,외부출입구,#1
2,신당,외부출입구,#4
2,신당,외부E/V,#2
2,신당,대합실,환승통로
2,신당,대합실,환승통로
2,상왕십리,외부E/V,#2
2,상왕십리,대합실,화장실
2,왕십리,대합실,화장실
2,왕십리,대합실,#6
2,왕십리,대합실,43번 기둥
2,한양대,외부E/V,#4
2,한양대,대합실,주민통로
2,한양대,대합실,주민통로
2,한양대,내부E/V,내부E/V
2,뚝섬,외부E/V,#3
2,뚝섬,대합실,화장실
2,성수,외부E/V,#1
2,성수,외부E/V,#4
2,건대입구,외부E/V,#6
2,구의,외부E/V,#3
2,구의,대합실,화장실
2,강변,외부출입구,#3
2,강변,대합실,지상1층 종점
2,강변,내부E/V,내부E/V
2,잠실나루,외부E/V,한강공원
2,잠실,외부출입구,#1
2,잠실,외부E/V,#6
2,잠실,승강장,06월 03일
2,잠실,승강장,내부계단
2,잠실새내,외부E/V,#2
2,잠실새내,외부E/V,#7
2,종합운동장,외부E/V,#6
2,종합운동장,대합실,화장실
2,종합운동장,대합실,화장실
2,종합운동장,내부E/V,내부E/V
2,종합운동장,내부E/V,내부E/V
2,삼성,외부E/V,#1
2,삼성,외부E/V,#8
2,삼성,대합실,화장실
2,삼성,대합실,#7
2,선릉,외부E/V,#1
2,선릉,외부E/V,#5
2,역삼,외부출입구,#7
2,역삼,외부출입구,#8
2,역삼,외부E/V,#3
2,역삼,외부E/V,#4
2,역삼,대합실,화장실
2,강남,외부E/V,#1
2,강남,외부E/V,#6
2,강남,대합실,화장실
2,교대,외부E/V,#5
2,교대,내부E/V,내부E/V
2,서초,외부출입구,#1
2,서초,대합실,화장실
2,방배,외부E/V,#3
2,사당,외부출입구,#6
2,사당,외부출입구,#8
2,사당,외부E/V,#14
2,사당,대합실,화장실
2,낙성대,외부E/V,#6
2,낙성대,대합실,화장실
2,서울대입구,외부E/V,#6
2,서울대입구,대합실,화장실
2,서울대입구,대합실,#5
2,봉천,외부E/V,#4
2,봉천,대합실,화장실
2,신림,외부E/V,#1
2,신림,대합실,#7
2,신대방,외부E/V,#1
2,신대방,내부E/V,내부E/V
2,구로디지털단지,외부E/V,#1
2,구로디지털단지,대합실,화장실
2,대림,외부E/V,#3
2,대림,외부E/V,#7
2,대림,대합실,화장실
2,신도림,외부출입구,#2
2,문래,외부E/V,#5
2,영등포구청,외부E/V,#2
2,당산,외부E/V,#3
2,당산,대합실,화장실
2,당산,내부E/V,내부E/V
2,당산,내부E/V,내부E/V
2,합정,외부E/V,#3
2,합정,대합실,환승통로
2,홍대입구,외부E/V,#8
2,신촌,외부E/V,#4
2,이대,외부E/V,#6
2,이대,대합실,화장실
2,이대,대합실,#6
2,아현,외부E/V,#2
2,아현,대합실,#3
2,아현,대합실,#4
2,아현,내부E/V,내부E/V
2,충정로,외부출입구,#1
2,충정로,외부E/V,#5
2,충정로,대합실,#1
2,용답,대합실,화장실
2,용답,대합실,#1
2,용답,내부E/V,내부E/V
2,신답,외부출입구,#1
2,신답,승강장,역무실 옆
2,용두,외부E/V,#4
2,신설동,외부출입구,#10
2,도림천,외부출입구,#1
2,신정네거리,외부E/V,#2
3,지축,외부출입구,#1
3,불광,외부출입구,#4
3,불광,외부E/V,#1
3,녹번,외부E/V,#3
3,홍제,외부E/V,#4
3,홍제,대합실,화장실
3,무악재,외부E/V,#1
3,무악재,대합실,화장실
3,독립문,외부출입구,#3
3,독립문,외부E/V,#4
3,경복궁,외부E/V,#4
3,안국,외부E/V,#5
3,종로3가,외부출입구,#7
3,종로3가,외부E/V,#7
3,을지로3가,외부출입구,#8
3,을지로3가,외부E/V,#10
3,동대입구,외부E/V,#6
3,약수,외부E/V,#3
3,금호,외부E/V,#2
3,금호,대합실,화장실
3,옥수,외부E/V,#5
3,압구정,외부E/V,#3
3,신사,외부E/V,#1
3,잠원,외부E/V,#3
3,고속터미널,외부E/V,#2
3,남부터미널,외부출입구,#5
3,남부터미널,외부E/V,#5
3,양재,외부E/V,#4
3,양재,외부E/V,#7
3,매봉,외부E/V,#1
3,대치,외부E/V,#7
3,대치,대합실,#1
3,대치,대합실,#3
3,대치,대합실,#7
3,학여울,외부E/V,#1
3,대청,외부E/V,#8
3,일원,외부E/V,#1
3,수서,외부출입구,#5
3,수서,외부E/V,#1-1
3,수서,외부E/V,#5
3,가락시장,외부E/V,#7
3,경찰병원,외부E/V,#1
3,경찰병원,외부E/V,#3
3,오금,외부E/V,#1
4,상계,내부E/V,내부E/V
4,상계,내부E/V,내부E/V
4,노원,외부E/V,#2
4,노원,외부E/V,#9
4,노원,대합실,화장실
4,창동,외부E/V,#1
4,창동,외부E/V,#2
4,창동,대합실,화장실
