tfcwkerMvmnCnterNm,rdnmadr,lnmadr,latitude,longitude,carHoldCo,carHoldKnd,slopeVhcleCo,liftVhcleCo,rceptPhoneNumber,rceptItnadr,appSvcNm,weekdayRceptOpenHhmm,weekdayRceptColseHhmm,wkendRceptOpenHhmm,wkendRceptCloseHhmm,weekdayOperOpenHhmm,weekdayOperColseHhmm,wkendOperOpenHhmm,wkendOperCloseHhmm,beffatResvePd,useLmtt,insideOpratArea,outsideOpratArea,useTrget,useCharge,institutionNm,phoneNumber,referenceDate,insttCode,insttNm
교통약자이동지원센터,경기도 포천시 군내면 청성로 112,경기도 포천시 군내면 하성북리 618번지,37.89623177,127.211078,28,카니발,28,0,1666-0420,해당없음,해당없음,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,1일전,"이용고객이 차량을 예약하고 비장애인만 승차시키는 경우, 장애등급을 허위 고지하고 우선배차를 받는 등 부정 탑승행위를 한 경우, 운전에 방해를 줄 수 있는 고객 탑승시 보호자가 동승하지 않는 경우 등",포천시 전지역,서울+경기도+인천,"중증 보행장애인으로서 대중교통(버스, 지하철 등)의 이용이 어려운 사람, 관련법에 의한 보행성 장애 판정을 받은 사람(장애인복지법 시행규칙 제28조제1항에 따른 보행상의 장애)","기본요금 1450원(관내, 관외 동일 적용)+초과요금(관외 100원/5km)",포천도시공사,031-540-6000,2024-11-14,5600000,경기도 포천시
전남지체장애인협회담양군지회,전라남도 담양군 담양읍 천변5길 63,전라남도 담양군 담양읍 천변리 391-14,35.31476994,126.9766124,3,창림저상슬로프장애인차,3,0,061-381-3132,http://kappd-jn.or.kr,,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,7일,,,,1~2급+휠체어 이용자,관내지역 (2km까지) 기본요금 1400원,전라남도 담양군,061-380-3055,2024-11-14,4850000,전라남도 담양군
청주시교통약자이동지원센터,"충청북도 청주시 서원구 사직대로 229, 북5문 117",충청북도 청주시 서원구 사직동 808,36.63785612,127.4723448,82,스타렉스+카니발,82,0,1533-0220,https://chungbuk-th-back.essetel.com,충청북도광역이동지원센터,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,관내 즉시콜+관외 1일전,심사를 거쳐 등록된 고객만 이용가능,청주시 전지역,충청북도+대전광역시+세종특별자치시+천안시,장애정도가 심한 보행상 장애인(기존1~2급 장애인 포함)+만65세이상 요양1~4등급+상이등급1~3등급,(기본요금) 10km당2000원+ (추가요금) 1km당300원,충청북도 청주시청 교통정책과,043-201-2822,2026-01-13,5710000,충청북도 청주시
장성군교통약자이동편의증진센터(전남지체장애인협회 장성군지회),전라남도 장성군 장성읍 청운길 23,,35.30199904,126.7813166,5,카니발,5,0,1899-1110,없음,,09:00,18:00,09:00,18:00,07:00,23:59,09:00,23:59,없음,,전라남도,광주광역시,심한장애인 중 보행상장애인 + 일시적으로 대중교통 이용 어려운 사람,"기본요금 500원(2Km까지), 1km당 100원",전라남도 장성군청,061-390-7367,2024-11-06,4980000,전라남도 장성군
경상북도특별교통수단 상주시 부름콜센터,경상북도 상주시 경상대로 2824-33,경상북도 상주시 신봉동 516-1,36.3997518,128.1513568,16,스타렉스5+카니발11,16,0,054-536-6635,www.brmcall.co.kr,부름콜 이용자앱,08:00,18:00,09:00,18:00,00:00,00:00,00:00,00:00,7일,,상주시 전역,경상북도+인접시군+대구광역시+전국(종합병원 목적),중증(보행)장애인+임산부로 대중교통 이용이 어려운자+ 사고나 질병 등으로 인해 일시적인 장애나 혼자서 외출과 이동이 곤란한 자 등,기본요금5km까지 1100원+추가요금 1km당 200원,경상북도 상주시청,054-537-7377,2025-08-11,5110000,경상북도 상주시
청도군교통약자이동지원센터,경상북도 청도군 청도읍 청도신기길 13,경상북도 청도군 청도읍 고수리 702-7,35.64409683,128.7440947,6,카니발,6,0,1899-7770,http://www.brmcall.co.kr,없음,09:00,18:00,00:00,00:00,08:00,19:00,08:00,19:00,사전 및 당일+주말(평일사전예약)+일요일 미운행,,청도군전지역,경상북도내+대구광역시+밀양시+창녕군+울산광역시,중증장애인+고령자중거동불편+임산부,기본2km 1200원+2km~10km초과(1km당 300원)+10km초과(1km당 100원),경상북도 청도군청,054-370-6252,2025-08-05,5190000,경상북도 청도군
군포시 교통약자 이동지원센터,경기도 군포시 수리산로 112,경기도 군포시 산본동 1151-10,37.3592167465,126.9194205511,27,카니발+스타리아+코나,23,0,1899-4428,https://bokjicall.gunpouc.or.kr,군포시 교통약자 이동지원센터,08:00,20:00,08:00,20:00,00:00,23:59,00:00,23:59,1일전,복지카드(신분증)등 증빙서의 제시 또는 관련 서류의 제출을 거부한 경우+실제 탑승인과 복지카드(신분증) 및 증빙서의 이용 대상자가 다를 경우+보호자 없이 탑승 시 안전상의 문제가 발생할 수 있다고 판단되는 경우+기타 이에 준하는 상황이 발생하여 운행할 수 없다고 판단하는 경우,군포+안양+의왕+과천,서울+경기+인천,중증보행장애인+일시적 장애인(일시적 장애로 대중교통 이용이 어려운 사람)+임산부( 출산 후 12개월까지 시민),10km 1500원+5km 추가 100원,군포도시공사,1899-4428,2025-09-11,4020000,경기도 군포시
(사)지체장애인협회 의령군지회,경상남도 의령군 의령읍 의병로8길 44 의령군종합사회복지관 1층,경상남도 의령군 의령읍 서동리 543 의령군종합사회복지관 1층,35.315489,128.255951,8,카니발,8,0,1566-4488,www.15664488.co.kr,,21:00,00:00,21:00,00:00,00:00,22:00,00:00,23:59,1일,,의령군 관내 전체,경상남도 관내 전체,보행상 중증장애인+노약자+임산부+일시적 휠체어 이용자,관내 2500원+관외 시외버스 요금의 1.5배,경상남도 의령군청,055-570-3643,2025-09-08,5390000,경상남도 의령군
진천군 교통약자이동지원센터,충청북도 진천군 진천읍 중앙북1길 11-10,충청북도 진천군 진천읍 벽암리 570-1,36.8610976,127.439492,10,카니발10,10,0,043-534-5758,해당없음,없음,07:00,19:00,09:00,18:00,07:00,19:00,08:30,17:30,관내3일+관외7일,,진천군내,청주+진천군인접지역,"1. 「장애인복지법 시행규칙」 제2조제1항의 규정에 따른 장애의 정도가 심한 장애인으로서 버스 등 대중교통의 이용이 어려운 사람2. 만 65세 이상의 사람으로서 버스 등 대중교통의 이용이 어려운 사람 3. 제1호부터 제2호의 교통약자외 혼자서 외출과 이동이 곤란하여 특별교통수단이 필요하다고 인정되는 사람(임산부, 일시적 장애로 거동이 어려운 사람 등) 4. 제1호부터 제3호까지의 규정에 해당하는 교통약자를 동반하는 가족과 보호자",5km까지 2000원(초과시 1km당 360원)최대 4000원,충청북도 진천군,043-539-3727,2025-09-06,4450000,충청북도 진천군
한국교통장애인협회 영덕군지회,경상북도 영덕군 영덕읍 경동로 8367,,36.410485,129.367247,7,카니발,7,0,054-734-3006,해당없음,,08:00,22:00,08:00,18:00,08:00,22:00,08:00,18:00,30일,"복지카드(신분증)의 제시 또는 관련서류의 제출을 거부한 경우+보호자 없이 탑승시 안전상의 문제가 발생 할 수 있다고 판단되는 경우+실제 탑승인과 복지카드의 대상자가 다를 경우+의도적으로 특별교통수단 운행을 방해한자(방뇨, 오물투기 등)+운행원칙에 반하는 무리한 요구를 하는 자",영덕 전지역,경북 전지역+대구광역시,1·2급 장애인+3급하지장애인+대중교통이 어렵다는 진단서 제출 장애인,"관내, 관외 동일적용 (기본요금 10km까지 1000원, 1km 초과 시 200원 추가요금 )",경상북도 영덕군청,054-730-6252,2025-08-28,5180000,경상북도 영덕군
